"","Mean","Median","Variance"
"g1",168.55226,1.578,924716.523520209
"g2",5.51736,0,1346.01796307246
"g3",334.54384,152.195,104857.292260379
"g4",0.83624,0,21.7520244390097
"g5",417.3175,114.1345,548224.172408448
"g6",66.68168,0,24982.083883042
"g7",0,0,0
"g8",0,0,0
"g9",71.22244,0.3945,15625.8553019771
"g10",61.37938,1.81,47338.467790624
"g11",7.76112,0,1511.78986223329
"g12",0,0,0
"g13",0.94736,0,4.4000368252322
"g14",0,0,0
"g15",0.02478,0,0.0214341145392852
"g16",5.4651,0,327.489507398542
"g17",700.39078,456.289,499853.941629697
"g18",1.1761,0,30.6678683019275
"g19",95.85786,1.374,69801.2221674321
"g20",0,0,0
"g21",185.62724,11.4125,314392.457114336
"g22",580.37544,202.128,2080600.61331996
"g23",4.07794,0,150.991391603684
"g24",158.57882,86.7535,29813.8451081368
"g25",25.3952,0,23244.7902887736
"g26",0,0,0
"g27",9.49362,1.4105,2212.90561671368
"g28",398.23036,141.574,825420.549915396
"g29",78.87708,2.7675,59853.7530606869
"g30",7.35818,0,634.814264576213
"g31",0,0,0
"g32",63.2128,0.7355,18584.2738929698
"g33",40.30646,0,69681.1181782298
"g34",36.0332,0,22963.7671374154
"g35",0,0,0
"g36",405.63324,309.676,237619.694066155
"g37",619.58772,304.2235,1090964.86001066
"g38",127.70104,19,39498.9039895262
"g39",412.17904,44.555,671155.010778968
"g40",0,0,0
"g41",0,0,0
"g42",1.76988,0,21.739934429671
"g43",11.03218,0,2255.34281487809
"g44",148.19992,3.5965,269664.09981523
"g45",0,0,0
"g46",3.3682,0,245.323624391269
"g47",0,0,0
"g48",35.28778,0.8855,7531.20948388738
"g49",22.62356,0.9225,15062.1314423551
"g50",115.08092,4.5575,104173.707119025
"g51",8.22812,0,2777.256394269
"g52",9.85548,0,971.820626745558
"g53",11.50398,0,2121.82456223165
"g54",7.64068,0,736.794387142147
"g55",115.88302,15.053,46534.0778014562
"g56",152.71092,13.2635,89284.2982576008
"g57",955.52172,770.9595,475710.78195666
"g58",54.23216,2.2375,101578.098288081
"g59",1962.94716,1619.6345,3059645.44831106
"g60",1.98098,0,131.192921617089
"g61",0.996,0,26.5313952826941
"g62",369.38574,243.646,507434.058838944
"g63",39.4884,0,15548.9568700802
"g64",87.55776,4.884,80121.8956689035
"g65",3.57518,0,82.7013435726187
"g66",0.36604,0,10.5028027295846
"g67",21.57208,0,8877.28182529841
"g68",857.24298,615.8165,1049360.14080501
